action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,latent_collision,iaction,probability,elapsed_time,group_id,ranking,potential_crash_before_intervention,potential_crash_after_intervention,best_intervention
keep,False,False,False,False,False,False,False,True,swerve_left,0.500043624104189,3.30642604827881,1,1,False,False,*
keep,False,False,False,False,False,False,False,True,swerve_right,0.50004362410419,3.27143454551697,1,2,False,False,
keep,False,False,False,False,False,False,False,True,keep,0.587466326537227,3.27709364891052,1,3,False,True,
keep,False,False,False,False,False,False,False,True,cruise,0.999087857315999,3.26145172119141,1,4,False,True,
keep,False,False,False,False,False,False,False,True,change_to_right,0.999087857315999,3.24570560455322,1,5,False,True,
keep,False,False,False,False,False,False,False,True,change_to_left,0.999087857316,3.26581168174744,1,6,False,True,
keep,False,False,False,False,False,False,True,True,swerve_left,0.000999481184801,3.26093196868896,2,1,False,False,*
keep,False,False,False,False,False,False,True,True,keep,0.001480626831661,3.26006698608398,2,2,False,True,
keep,False,False,False,False,False,False,True,True,swerve_right,0.500120346345699,3.30469083786011,2,3,False,False,
keep,False,False,False,False,False,False,True,True,change_to_left,0.999219246255583,3.27878904342651,2,4,False,True,
keep,False,False,False,False,False,False,True,True,change_to_right,0.999219246255583,3.24996161460876,2,4,False,True,
keep,False,False,False,False,False,False,True,True,cruise,0.999219500042559,3.29279613494873,2,5,False,True,
keep,False,False,False,False,False,True,False,True,swerve_right,0.500043624104189,3.34613442420959,3,1,False,False,*
keep,False,False,False,False,False,True,False,True,swerve_left,0.50004362410419,3.24099898338318,3,2,False,False,
keep,False,False,False,False,False,True,False,True,keep,0.587466326537227,3.30544328689575,3,3,False,True,
keep,False,False,False,False,False,True,False,True,change_to_left,0.999087857315999,3.26650476455688,3,4,False,True,
keep,False,False,False,False,False,True,False,True,change_to_right,0.999087857315999,3.23750376701355,3,4,False,True,
keep,False,False,False,False,False,True,False,True,cruise,0.999087857315999,3.2662935256958,3,4,False,True,
keep,False,False,False,False,False,True,True,True,swerve_left,0.001006913986821,3.27535176277161,4,1,False,False,*
keep,False,False,False,False,False,True,True,True,keep,0.008935734631185,3.29099655151367,4,2,False,True,
keep,False,False,False,False,False,True,True,True,swerve_right,0.501983192815891,3.29959845542908,4,3,False,False,
keep,False,False,False,False,False,True,True,True,change_to_left,0.999261698226203,3.26996612548828,4,4,False,True,
keep,False,False,False,False,False,True,True,True,change_to_right,0.999270215705175,3.29601812362671,4,5,False,True,
keep,False,False,False,False,False,True,True,True,cruise,0.999419448051767,3.29274153709412,4,6,False,True,
keep,False,False,False,False,True,False,False,True,swerve_left,0.50004362410419,3.36837267875671,5,1,False,False,
keep,False,False,False,False,True,False,False,True,swerve_right,0.50004362410419,3.27914452552795,5,1,False,False,*
keep,False,False,False,False,True,False,False,True,keep,0.587466326537227,3.38842964172363,5,2,False,True,
keep,False,False,False,False,True,False,False,True,change_to_left,0.999087857315999,3.23775815963745,5,3,False,True,
keep,False,False,False,False,True,False,False,True,cruise,0.999087857315999,3.43470621109009,5,3,False,True,
keep,False,False,False,False,True,False,False,True,change_to_right,0.999087857315999,3.43090105056763,5,4,False,True,
keep,False,False,False,False,True,False,True,True,swerve_left,0.000999462644495,3.27513909339905,6,1,False,False,*
keep,False,False,False,False,True,False,True,True,keep,0.001462030886249,3.27169322967529,6,2,False,True,
keep,False,False,False,False,True,False,True,True,swerve_right,0.500115699680325,3.29020094871521,6,3,False,False,
keep,False,False,False,False,True,False,True,True,change_to_right,0.999213798497997,3.3028130531311,6,4,False,True,
keep,False,False,False,False,True,False,True,True,cruise,0.999216167291433,3.25397205352783,6,5,False,True,
keep,False,False,False,False,True,False,True,True,change_to_left,0.999220828260754,3.27888560295105,6,6,False,True,
keep,False,False,False,False,True,True,False,True,swerve_left,0.500043624104189,3.29891300201416,7,1,False,False,*
keep,False,False,False,False,True,True,False,True,swerve_right,0.50004362410419,3.27491140365601,7,2,False,False,
